"category","prompt","response","expected_answer","context"
"Account Suspension","Customer support ticket for Web Portal. Category: Account Suspension. Issue: The payment was deducted from my bank account but the transaction shows failed. Priority: Urgent. Channel: Email. Region: North America. Subscription: Free. Previous tickets: 6.","Data synchronization restored after backend service restart.","Data synchronization restored after backend service restart.","Product: Web Portal | Priority: Urgent | Ticket status: Open | Channel: Email | Region: North America | SLA breached: Yes | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Mobile App. Category: Performance Issue. Issue: I found a bug in the latest update affecting report generation. Priority: Urgent. Channel: Email. Region: South America. Subscription: Premium. Previous tickets: 20.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Mobile App | Priority: Urgent | Ticket status: Closed | Channel: Email | Region: South America | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Web Portal. Category: Performance Issue. Issue: The application crashes whenever I try to upload a file. Priority: Medium. Channel: Chat. Region: Europe. Subscription: Premium. Previous tickets: 20.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Web Portal | Priority: Medium | Ticket status: Closed | Channel: Chat | Region: Europe | SLA breached: Yes | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for Payment Gateway. Category: Subscription Cancellation. Issue: My subscription was cancelled without my request and I need clarification. Priority: Medium. Channel: Social Media. Region: Asia. Subscription: Enterprise. Previous tickets: 18.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Payment Gateway | Priority: Medium | Ticket status: Closed | Channel: Social Media | Region: Asia | SLA breached: No | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Feature Request","Customer support ticket for Web Portal. Category: Feature Request. Issue: The system is not syncing data across devices properly. Priority: High. Channel: Email. Region: Asia. Subscription: Enterprise. Previous tickets: 8.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: Web Portal | Priority: High | Ticket status: Pending Customer | Channel: Email | Region: Asia | SLA breached: No | Issue complexity: 3 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Subscription Service. Category: Payment Problem. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Low. Channel: Social Media. Region: North America. Subscription: Enterprise. Previous tickets: 2.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Subscription Service | Priority: Low | Ticket status: In Progress | Channel: Social Media | Region: North America | SLA breached: Yes | Issue complexity: 9 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Security Concern","Customer support ticket for Subscription Service. Category: Security Concern. Issue: I would like to request a refund for the recent charge. Priority: Medium. Channel: Phone. Region: North America. Subscription: Basic. Previous tickets: 7.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: Subscription Service | Priority: Medium | Ticket status: Open | Channel: Phone | Region: North America | SLA breached: Yes | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for Web Portal. Category: Subscription Cancellation. Issue: Two-factor authentication codes are not being delivered to my phone. Priority: Low. Channel: Phone. Region: South America. Subscription: Free. Previous tickets: 20.","Subscription status corrected and confirmation email sent to customer.","Subscription status corrected and confirmation email sent to customer.","Product: Web Portal | Priority: Low | Ticket status: Resolved | Channel: Phone | Region: South America | SLA breached: Yes | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Security Concern","Customer support ticket for API Service. Category: Security Concern. Issue: The payment was deducted from my bank account but the transaction shows failed. Priority: Low. Channel: Chat. Region: Europe. Subscription: Enterprise. Previous tickets: 12.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: API Service | Priority: Low | Ticket status: Open | Channel: Chat | Region: Europe | SLA breached: No | Issue complexity: 3 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Billing System. Category: Performance Issue. Issue: I am unable to access my account after entering the correct credentials. Priority: Urgent. Channel: Social Media. Region: Europe. Subscription: Free. Previous tickets: 5.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: Billing System | Priority: Urgent | Ticket status: Closed | Channel: Social Media | Region: Europe | SLA breached: No | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
